,Text
18,"she never prepares us for tests and gives us a whole bunch of homework for no reason, and is always too lazy to teach! >:O"
19,"He never teaches anything and expects everyone to learn the stuff themselves. Also the average score on a test was an F and he didn't curve it.


Submitted by a student"
20,not very helpful. gave us tests on different chapters than what we were studying. other tests were from a different book on stuff we didnt go over or learn that much.
98,"Ms. Shangaza Banfield gives out too much homework and does not teach the material well at all.k


Submitted by a Parent"
99,hes quizzes and tests have nothing to do with his study guides. I am sooo surprized i didnt fail his class ever.
100,she doesn't teach all we do is do worksheets and her test have nothing that she has taught us on them.
198,He gives tests on material that we haven't been taught and then gives us the packet with that info after the test
199,awful.takes out her agression with the people in the class by making the whole class suffer with pop quizes and tests that no one knows anything about
200,umm she didnt do anything..jus made us read the book and do section reviews and then we took testss..doesnt teach and is not helpful..
298,Horrible teacher. All he does is show videos every single class; he doesn't teach us at all. He also gives us quizzes before we learn the material.
299,"Had him for Bio last year, and he haven't teach me anything useful that helped me to through out the course, and all he tell the students are just to read the textbook for homework, so what's the point coming to his class anyway, if all we have to do it's to read the textbook.


Submitted by a student"
300,He doesn't know what hes doing...he makes you show him your PENCILS....you wont learn anything....i basically copied off the kid next to me the whole year and did NO homework and passed.
398,You are mean to everyone in the class and even though you tell us to give teachers the benefit of the dought you never gave us that.
399,"She rarely showed up to class and did not prepare me at all for spanish in the future


Submitted by a student"
400,"She always picks favorites. I've almost never seen her smile. This is how she teaches:Packets
Power Point
Copied Papers
Packets
Power Point
Copied Papers
Packets
Power Point
Copied Papers
Packets
Power Point
Copied Papers
Packets
Power Point
Copied Papers
Packets
Power Point
Copied PapersShe expects us to know everything without teaching us. She goes through power points 100mph."
498,"she is very unclear, also she does not give out study guides for final exams. She expects us to reread all 12 chapters and memorize for the final exam."
499,"she does not teach at all. she just gives notes on the overhead and homework. then, the next day, test."
500,"i luv mcdavid as a person, but reading 3 chapters form the book and taking a huge test over it by the end of the week is not learning!"
598,She doesnt really give us notes but when she does there r pages of them. Then she doesn't even use them on the test and we study our butts off to pass.
599,he lets kids cheat and then they get a 1 but if you refuse to cheat and dont get every single one of the coaching reviews done he gives you a 4. Even if you did great the rest of the class.
