,Text
18,"HER ACCENT MAKES YOU NOT BE ABLE TO UNDERSTAND HER AT ALL. AND SHE SKIPS OVER IMPORTANT STUFF AND DOEs nOT LET YOU ASK QUESTIONS. SHE ALSO CAN NOT TEACH AND GOES TO FAST!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!


Submitted by a student"
19,"The subj. matter itself isnt difficult, but he cannot teach it correctly and makes it so. Most students do not comprehend the math until they get outside help."
20,"shes not a good math teacher, i failed math because of her she was never clear and when she tried to help it just made everything more confusing."
98,"She tries to explain things with clarity, but does not she usually ends up confusing the class and herself.


Submitted by a student"
99,he's not very helpful and doesn't explain things well.i was lost in his class and didn't understand what he was teaching.
100,only in her class would 1+2=6..and only in her class would the students teach the teacher..she is the CONFUSED one..and we would get confused because of that..
198,"Ms. O'Neill is not the best at teaching. She is a very fast paced teacher and we all told her to slow down but she never does. It's very frustrating. She also doesn't do a good job at explaining how to do problems. When she tried to explain it it made me more confused.


Submitted by a student"
199,"Hayward is one of the ""coolest"" math teachers I've ever had. However, if math is not your strong subject, don't take his class and expect to do well unless you can teach it all to yourself."
200,She is very boring. Never tries to help students understand math and why math works the way it does. doesn't try to make the material easier to understand.
298,Does not help studens. Not organized. Won't answer questions. Can't expalin anything in a clear waythat students can understand.
299,"She was not willing to work with the students who did not comprehend the material, she just expect them to get it and move on. Very impatient with questions."
300,it is difficult to follow what he says and he is never clear on his assignments. he made everything in his class harder for the students then it needed to be.
398,Mrs. Redden is the worst teacher I have ever had. She does not explain things clearly and does not help when you go in for help sessions. She really doesn't understand her students AT ALL.
399,"He knows what he's doing, but he's not a good teacher. its extremely difficult to stay focused with that accent. very mono-toned and he never made the class intriguing."
400,I had a really really hard time understanding anything Mr. Vogel taught us...he just doesn't make sense to me. Hes a really nice guy...just not very clear.
498,"Are you people talking about the same teacher?! She had the uncanny ability to frustrate the students, even the math geniuses."
499,"Does not explain anything!!!! Moves too fast and jumps around. I was lost after the first day of class. I am a fast learner and was an A student in High School, but have NO idea what she is trying to teach"
500,"My favorite subject is CHEM but man I just couldn't understand it. I was getting a D in her class, now I have somebody else and now I have an A."
598,"Shes not a bad teacher, but not a good one ether. She easily digreses in class and is really unnecessarily strict about college recommendations. not helpful, and not clear about matreials. But shes re"
599,"i cant really understand her sometimes and when you ask her to explain something it is NEVER clear...her class isnt that hard, but it gets kinda confusing."
600,"Ms.Cranell is basicly the worst teacher ever. She is really slow and confusing and doesnt even try to help ""us"", the students."
698,Not a very good teacher. She isn't very knowledgeable and doesn't take the time to time to help students who are having difficulty. Not recommended.
699,she is really good at math but its hard to understand her and she is not very good at helping if you dont understand (ends up making you feel dumb)
700,"costea was alright. he didn't explain things well, and wasn't exactly eager to help. and when he did, he didn't help so much as do it for you."
798,"She is usually a nice person, but she doesn't teach very well. She doesn't explain things enough and students end up having to teach themselves the material."
799,She was very hard to understand I failed her cause because I did not undestand her I do not even think that she understands herself.
800,you are the coolest math teacher i ever had u helped me go on to the eight grade without having to go to summer school
898,not a great teacher. does not know the material well. I can recall many of times were students in the class had to solve the problem for her
899,you go to fast i cant keep up with any of the lessons and i dont like the way you teach...................................................................
900,hes really hard especially for JAVA. you better be good at JAVA if you get DeRuiter. doesn't explain much either.
