,Text
18,"Why should we be in class if we're just going to ""blow the day"" as she says. This class has become a waste of time and I have learned nothing."
19,"Her class is an absolute waste of time. We do nothing in there. If she is trying to prepare us for the future, we must be challenged"
20,"Her class is a joke, her class is absolutely worthless. Her senior english class was easier than her freshman english class. I'm sorry if you ever have to have her, be ready for a boring class in which you will learn absolutely nothing."
98,Oh my god. The day we measured paragraphs in an AP Physics 2 class was the day I realized I would learn nothing with this teacher.
99,"Unless your child is going to major in geography, get them out of this class. It is much harder than comperable classes taught by other teachers."
100,"she's a teacher??!?!??! learned absolutely nothing in her class, in fact tought she was my study hall teacher!"
198,I dropped his class after the first semester and finished my senior English class with Mrs. Garrison as an independent study. It was the best thing that ever happened to me.
199,"i had her for media (whatever that class was suppose to be), her class was so pointless... she just rambles on and on about absolutely nothing"
200,Is this man for real? He loves to show videos. Are you really a college graduate man? I can't imagine how low your gpa was. How low can this distrect go?
298,"I almost never knew what was going on or how it related to US history. Would've learned more if I had just taken a nap instead of taking this class.


Submitted by a student"
299,"i dread going to his class everyday. It is not have difficult, just time consuming. Everything done in his class is busy work. He might know alot about marine bio, but he doesnt know much else"
300,I I learned nothing in her class other than she is an amazing writer( not) and what was up with all the favorites in my class it was soooooo obvious
398,"I read, did my work, and most of the class, including me made like a D in that class...and english is my best subject..."
399,She's the brand new ASL Teacher for both Vines and Plano Senior High. She teaches 7 clases at both ASL 1 and ASL 2 levels. She is deaf. It's hard to learn in her class because it's total immersion; she only signs and writes
400,I am not sure that I will learn much in this class. His grading for English class is not fair either.
498,"Ms. B knows nothing about Chem-phys. What I know I learned in middle school. I mostly unlearned in her class. Get your facts staright, Ms. B"
499,Dont like her but very easy class and class overall will not prepare you for bio grd 9 or chem grd 10 so on
500,his class was depressing. i wanted to look into a career in biology and was hoping that this class would help me decide but i didn't learn a single thing.
598,"This class is an easy class And also, dont do any minor misdemeanors. Likes to get her way. I am currently a senior in high school now. -M


Submitted by a student"
599,"he's a horrible teacher, but hilarious. loved him for a regular class, but wish I had learned something when I had him for AP"
600,He was litterally the worse teacher I have had in m entire highschool expierence. I learned absolutely nothing in the clas... The worst part was he is an honors teacher
698,"If you want to learn English, look elsewhere. Maeda = art. You won't learn vocab or how to write essays, but you will know your 19th century painters."
699,"The majority of the junior class went into the AP test extremely unprepared. This is due to the fact that we did not prepare for the test in class. Instead of preparing for the AP test, we were learning american history. We learned countless useless facts that did not benefit us on the test. i would like to point out that we did not write one single essay all year. None of us knew how to write the essays given to us on the Ap test. Thank you Mrs. Damon for a waste of a year. I don't recommend..


Submitted by a student"
700,I wasted a year in math i learned nothing in his class him and mr armstrong are the same they act like they r still in middle school.
798,I learned NOTHING in his class. He didnt even finish the entire curriculum in the year! FAIL. His class was completely pointless.
799,"Literally cannot get above a C+ in this class and this is coming from a previously Straight A language arts student. Her language arts classes will do little more than destroy your GPA. Also not much language arts involved.


Submitted by a student"
800,"You will learn nothing during an entire year of ""AP"" English. Bring something (or someone) to do so you don't get bored."
898,Mr. Packer is a terrible Honors English 11 teacher. He should just stick to teaching creative writing because then he wont have to prepare for anything serious i.e. the AP essay.
899,Ridiculous teacher. I had bronchitis when I was in her class and she did absolutely nothing to keep me going with everyone else. Changes her mind a lot. Don't let her scare you about soph classes.
