,Text
18,She doesn't seem to be doing her job. I still don't have my attendence fixed and it's been many months now.
19,"She and her assistant are over protective about what you search on the computers! They say that they have to be watching us while we use google and that were only allowed to use the schools useless online resources! Like what????


Submitted by a student"
20,"Takes points off for putting your first and last name on the first name line and nothing on the last name line ON ONE OF THE ONLY TWO FORMAL GRADES OF THE QAURTER


Submitted by a student"
98,"he removed my computer from the desktop wiht no warning to anyone how am i going to get to some of my documents now, hes so rude and inconsiderate"
99,JUST LET US PLAY! makes us do too many drills! spent 2 weeks on bb drills and forces everyone to stay in line during vb which isnt fun.
100,"She did a lot for the art department, but beyond that, she has done NOTHING special. And she took away our bonfire. Just saying."
198,made me get my 5th tarty because i was in the bathroom so now if i get one more i get suspended and theres only 4 more days of school left
199,"who hasn't heard of the bauer spelling method? ""Montesquieu? Yeah, it's M-O-N-T...oh, you know the rest!"" I think he actually thought ""dot dot dot"" was acceptable spelling."
200,"Ben carpenter is just doing his job but he is doing it in every wrong way, i may be exaggerating, but he treats the school like a dictatorship and doesnt allow school public opinion, I understand whyd"
298,"This teacher is out of her mind...attention to the administration, she gives out referrals for a stupid reason and then put things diferent from her first reaso"
299,.....the entire language department HATES working for him.... not only in our school... but all over staten island....
300,"I learned more about food than science in his class last year. I honestly learned more about gravity, density, mass, etc in the one week that we reviewed it in science this year than I did during the"
398,"I hate him so much. U have to always write in cursive and in pen, i made so many mistakes and its ur falut i had to do all those reports over and over!"
399,"(con from previous) I sincerely hope she gets fired. If she doesn't, then that means it can be evidence pointing to Carole Kihm's regime of destroying AAP and education for all."
400,"I learned more from YouTube in her class than her. She changed my grade from an A to a C on the last day of school


Submitted by a student"
498,i don't think she is a good teacher because we have been reading one book since we started school and we still anit done this is suppose to a english class.
499,"The most systematic woman I have ever encountered. Its like shes been programmed and can't make decisions for herself. No, you cant sign anything for me, go away"
500,"HORRIBLE!!! Good luck trying to email her (which is the only way you can contact her). Syllabus says she will respond in 3 business days, I've been waiting for a month!! Very unorganized. Not sure why UHCL has kept her around for so long"
598,"Ms. Williams is one of the worst teachers I have ever had. I had to teach her how to use photoshop, and I was only put in the basic tech tools class!"
599,"She could be much worse, but she also be much much better. If she changed a few things LPHS would be a lot better."
600,"I have long since graduated from middle school but I still fear and despise this woman! she's a James wannabe and an awful teacher! in other words, I hate her!"
698,she is a very nice person... but her teaching in not so great. When we had been in school for a month she still hadn't passes work!
699,"MAKE AN ACTUAL EFFORT TO HIRE GOOD TEACHERS! Isn't HNA supposed to be an ""exemplary"" school? What has been happening? Stop hiring anybodys and easy-way-outs."
700,"This school needs to hire qualified school social workers today. These ""counselors"" are in way over their heads. No systems perspective at all."
798,"I don't care if teachers don't teach. THIS TEACHER DOESN'T GIVE US A TEXTBOOK. He copies handouts like this: pg. 5, pg. 6, pg 10, pg. 11, pg. 12, pg. 15. Then guess what's on the test? Pg. 14."
799,"I heard that she couldn't teach. Normally I don't believe what people say. After meeting this teacher, I realized what people meant."
800,"He's annoying: ""WHAT ARE YOU USING THIS COMPUTER FOR?...EMAIL?!"" That happened to everyone in the library every 10 minutes."
898,Tipling was dating a student but he was 18 years old so no legal action was taken but once the school found out they did fire her and she is not engaged to the student. She was also the yearbook teacher and I was in the class with the student she was dating my senior year was her last year teaching
899,"""Give me your tired, your poor, your huddled masses..."" Who is this guy? What is he doing here? What is he paid to do? My tuition $ at work? RETIREMENT!!!!"
900,"Does not help I dropped ten on my map scores because she does not know how to work with kids


Submitted by a student"
