,Text
55,"2000+ pts a MP, even if HW is 10 and ther's HW everyday it's still way overdoin it, 45x10=450, leaves 1550 points for projects, quizzes, tests = 15 100-pt projects, 15 100-pt tests, or 31 50-pt quizs."
111,Loses all papers I had to redo a test 3 times Hecate she lost it lost my homework all the time . I would not recommend her as a teacher.
167,"He is such a slow grader. He still hasn't graded essays from a month ago, even though he has had plenty of time over the numerous breaks."
223,Not organized. Gives much homework- most is not collected. Her teaching seems pointless. Grade updates 1 month late. Didn't do major project-didn't affect grade
279,"She gives out way 2 much hw, she should give us a break every now and then- the final way way 2 freakin' hard"
335,"Hes so hard, all his work is muti projects. so its a bunch of little projects all combined together. Olny thing is the projects arent little."
390,Everything is very influential towards the kids. She is also very unorganized and would give major stuff all due within same week with short notice.
446,I loved her in the beginning of the year but she puts everything off until the end of the year and then loads a bunch of work on you.
502,You always change your mind about due dates for projects and papers at the last minute. Your class was very easy tho even though you gave me 4 or 5 zeros
558,I was constantly lost in his class. He just gives you labs and expects you to know how everything is done.
614,"Teacher is very unorganized, has handed my student no work back the entire year, and does not keep up with grades at all"
670,Inconsistent w/instructions...gives last minute instructions on 9 wk projects when students have completed or nearly completed them...does not tell each class the same instructions...grades harshly & inconsistently
725,Had her last year. She doesn't know how to run a class. Period. She never explains the criteria when grading because she doesn't know how to grade. One positive is that she never checks the hw because she is too lazy to get up and check. And her final is ridiculous.
781,She doesn't know half the stuff she is taking about and gives us way too much homework. Like she gave us these packets to do over winter break.
837,she doesn't tell you things and then punishes you for not following the directions she never gave you. and she loses a lot of the paperwork...very strict...: /
893,"i think she expects to much from us, gives way to much work for one homework assignment. So its either were in standard or acc never honors. plus her grading is crap"
949,I dont like you you are the meanest teacher ever and you never count my homework and you give me Cs on ever progress report and report card I have had.
1005,He is the worst. He revoked the grades that he had given me beforee multiple times. He also changed the grading system while we were taking a test. He said we wouldnt have finals but now he says we do hes the wrostarre
1060,It seems that this class is based on students teaching each other: unrealiable info. Grading is arbitrary and uneven workload: significantly more during the week than on weekends
1116,He assigns several assignments but the due dates are all very random. He expects you to know what he is thinking. He also gives you extra credit for not asking him questions?!?
1172,Lazy Teacher that gives little or no direction. Just gives out work sheets and sits are her desk and texts all day.
1228,"Don't bother doing any work at all. BS the homework and labs, he doesn't notice. Just go to the review sessions before each quiz and pay attention at those."
1284,Class makes no sense. Never talks about whats being tested. Puts grades in way late. Fed up with this class!
