,Text
32,She is a great person. Do not confuse good person with good teacher. They are not the same thing. Teaching not so good.
65,"she does not really teach students, however, she is overall a fine person"
98,doesnt really teach in the beginning but gets better as the year goes on shes a good person just not the best teacher
131,"she really didn't help me or anyone in prob and stat. she's an awesome person, but she couldn't teach."
164,Eh. She is an okay teacher. She sometimes does not teach well though and sometimes grades bad. She sometimes seem not to care at all for most students. :(
197,rl cant teach and thats facts. nice i guess but sarcastic and she rlly tried it.
230,He is a great teacher however he is not that good at teaching students. If you are on his good side then he will respect you.
263,"dumb. doesnt rly understand what shes teaching. makes no sense. should not be a teacher. friendly. nice. but bad teacher. very bad teacher. unlike huang, whos the opposite. not friendly. smart. good."
296,lisa bramble is the one best she is wounderful and she is the best teacher i had at wagner before i move on she is the best she is one of the kind.
329,"Mrs. Hugo has the nicest heart! She is always the nicest person. She's not the best teacher, but she's always smiling!"
362,"Horrible teacher, but good as a person. She's my best friend, but she needs to learn how to grade and teach."
395,God-awful teacher. The only way to make it through IB bio is to get on her good side by following her quarky and whimful instructions. Good luck...
427,Does not teach well what so ever. Overall she is not a good teacher. We've had to retake over 3 things because of HER mistakes. She is just a horrible teacher.
460,"solar flares, solar flares and more solar flares. nice enough if youre on her good side but her classes were far from interesting and all she talked about was solar flares. overall not a great teacher."
493,"Not the nicest teacher in the world. If you are not the teacher's pet, then stay on her good side. When she doesn't like you, she'll make that clear."
526,"she has really bad mood swings and refuses to help us if shes angry. even though shes a nice, shes not a good teacher"
559,Castillo is a really nice person. Not a great teacher. Does not really know the content (or how to teach it to high schoolers).
592,"She's not the brightest person but she seems to have good intentions. Everythings drama, hence why she's the drama teacher."
625,shes a horrible teacher but shes a nice person. she advised me to leave the school cuz i was 2 smart. best thing i ever did.
658,"Person-wise incredibly nice and good.... Teacher- wise bad teacher cuz always lost and has no idea what to do, and very disorganized teaching style"
691,"she is a very nice lady, but she is always hanging around other teachers.... usually males.... *wink* *wink*"
724,he has problems and i don't want to say what kind of problenms But he is a good teachers. A good American guy
757,"She was a very nice teacher........at first, but then she turned into a ....well I can't use that word on here. She had this phony personality and a bad attitude."
790,Mrs.Watson could be an excellent teacher if she would stay on subject...she is a nice person..very caring.
823,let's teach for 5 minutes and then give 41274637 problems. OK AWESOME!!!!!!!! too bad we were friends though.
855,"ugh. she is ridiculous, and way too smart for her own good. she may have done well on the SAT's... but she is a bad teacher."
888,"Would be nice if she taught, learn more from classmates and friends. nevermind the fact that she really doesnt seem with it"
921,"Mrs. K is nice but more like a student than teacher - she's all over the place, disorganized, repeats the same thing over and over, okay I guess but not brilliant."
954,she is sooo funny...and always talks to herself but can get off track sometimes...overall she is a good teacher
987,"She didnt awnser my questions, and my grades fell in response. Not a very good teacher. She is nice, just didn't teach very well."
1020,Mr. Hosbach is an inexperience teacher who is not that good in art. I have had better art teachers in the past.
1053,Great and funny person and wonderful to talk with but I agree with the last person...worst teacher ever...he doesn't teach!
1086,"Fonz wanted to be our friend and our teacher... When she thought it was ""teacher time"" the class would laugh at her. Nice person, but not an effective teacher."
1119,"She's just a terrible teacher. She has an unecesary atitude as well. But for the most part if you're pleasant to her, she isn't too bad. She might be a good french teacher, but for spanish she real"
1152,"If you don't care about learning, he's your fav teacher. If you want a productive year, he isn't the right teacher for you. Nice person, horrible teacher."
1185,"hussmann was a good teacher, i wont take that from him when a teacher starts a debate, and then wont let you tell your side because you oppose, he sucks on clarity and helpfulness"
1218,she is a bad teacher and she doesnt know how to answer questions. she is a nice person but doesnt know how to teach
1250,"ok, mrs.wienspach was definetly a bad teacher. i had no personal problems with her myself, but most students actually would avoid the lady in the hall."
1283,"He's a neat guy, but for the semester I had him before he went to Iraq, I have come to conclude teaching might not be his forte."
1316,You either like him or ya dont....Greek Latin is only worth 5% so if you have a 95 or higher youll still have an a. he only gives finals if you do poorly on CRTs. BAD teacher...GOOD guy.
1349,Mr. Lopez's class is extremely entertaining. However throughout the whole year I may have learned two new things. He is a great person but a horrible teacher.
1382,"Mr.Miller is not that great of a teacher. he picked favorites, and singled many out. There's not much I can say about him."
1415,such a horrible teacher. and trys to hard to be funny. hes just not suited for teaching. but hes a good waterpolo coach
1448,"Well i agree we all shouldn't have treated him in such a way because he is older than us but his teaching was abit unclear =/ However, he's a good hearted man we should have cherished more."
1481,"Good person as a character, but she is a not very good teacher. She doesn't explain very well and goes by very fast."
1514,"umm hes not too good of a teacher, doesnt do what a proper teacher would. lovable guy but should put more effort in his job"
1547,"Not a good teacher or person. She does not teach, she is very mean and ugly to the students. I always wonder why these type of people are even teachers. ???"
1580,Ok oK. Your nice and all but you gotta explain some things betta then the way that you do.Otha wise you would be good.
1613,"She is a very nice teacher. However, I find that each night after algebra 2 with her I have to reteach myself what I had just learned in class by using online lessons. Although she is a nice teacher, she isn't a very good teacher"
1646,i dont like this teacher because she is verry unclear when she explanse thing and doesnt help me out when i need it and she isnt a good teacher at all
1678,"Mrs. Koppel is a very nice lady, she cares about all of her students, but she is not a very good teacher. Everybody in her class cheats, and she is oblivious. Very Very Nice Lady Though!!!"
1711,"he is a teacher who has his favorites. also, he has a few good days and the rest are horrid. its unfortunate that he also has an attitude problem that must be fixed. not a recommended teacher."
1744,ms hahesy is really nice but she is not a good teacher and if she doesnt like you she gives you bad grades...she HATES me
1777,"Theatre teacher.Bad. We don't learn anything. She is a great person but a bad teacher. We need a teacher that can help us grow with acting, she doesn't do this."
1810,uhm well she is overall ok not the best teacher ive ever had but whatever; she can have her moments; and sometimes she can be really nice;her tests are hard&sometimes shes not fair but she can be nice
1843,"Wow, she must've given extra credit for good ratings... Overall, she's a horribly unclear and unhelpful teacher. Nice person, just horrible teacher."
1876,Ms. Visbal is a nice friendly lady but not particular helpful nor competent. I like her as a person and as a friend but she was useless when it comes to my education and personal growth.
1909,"OH MY GOSH DONT GET ME STARTED. she's sweet and nice, but i honestly DONT UNDERSTAND what she says half the time. don't get me wrong, she has good intentions but still..."
1942,this teacher is sort of confusing at times but overall he's good. the great thing about him is that he always has time to help you if u dont understand.
1975,hes the nicest guy in the wohle world hes just not a good teacher we never stay on topic in class....
2008,"She's a nice person. I can give her that much. Luckily, I was good in math so I didn't do too bad in her class."
2041,"a very femenist teacher and forgets things a lot she screwed up my grades and i didnt learn jack,but shes nice."
2073,"Really isn't great at explaining things or helping students. Somedays he is nice, but most days he isn't."
2106,"She has bad ideas and she needs to incorporate more musical advice into her teaching. This isn't a judgement of her personality, she's nice."
2139,"A great guy but i would be nice if he taught a little bit more then tell stories of his childhood. Very tough grader for one who teachs so little. However, I guess it is more important that he is cool then a good teacher."
2172,"Hi Bob! It's true, unfortunately he's not the greatest teacher but he is definitely funny, and worthy of respect"
2205,"He wasnt mean or anything but he wasnt a good teacher. He didnt teach anything, even though hes nice hes not smart!"
2238,Not a good consuler. She is a nice person but when it comes to actually helping someone advance in life she falls way short.
2271,"She's a bit jumbled and all over the place. She. An be a bi of a pushover and assigns a lot of meaningless busy work. She's nice and has good intentions, but I havent learned much at all this year"
2304,"she's a verryy nice person, but a verryy unclear teacher, i understand the material but i dont know what she wants from me...89!!!!!!!!! ahhh!!!"
2337,mr counrtyman isn't really that great of a teacher... he is the reason about 1/2 of my friends have quit band or are planning to once school starts up again.
2370,"Mr. Rice is a teacher with great potential. All he needs is more authority. Otherwise, he's a good teacher, but should help us out more."
2403,"He is not a very good teacher, but he is funny when he yells @ u. Ask 4 mrs.kelley if u get into G&T!!"
2436,"I love her! She is the best gov teacher ever, would definitely recommend her!!!!!"
2469,I didn't understand anything... She can't teach but she's a sweet person in general.
2501,"Not a very nice or friendly teacher. Knows what she is talking about when teaching, but isn't very helpful."
2534,"ok. sure, she's nice to her student council kids. but teachers shouldn't have favorites, right? she's also way too opinionated and stubborn, and her teaching sucks."
2567,he tries teaching but he fails. noone really respects him because he studders and he gets off topic...he's a nice person but not a good teacher. i cant hear him talk during class...its bad when he's c
2600,"He is not a very good teacher, but he is nice. I suggest you switch out if you have him, otherwise you probably won't learn anything."
2633,she is a horrible teacher but in the end after she passed me w/ a pretty good grade i realized she wasn't really THAT bad...
