,Text
53,she is really unclear of what she wants u to do plus she get really mad and doesnt have a sence of humor
107,"she's tough, but if you participate, you'll do ok. she's really hard to warm up to, but if you don't have to talk to her, your be fine."
161,"He tries to hard to be cool I think. He starts to get annoying after the first couple weeks, but you can just go to sleep and you'll still get an A."
215,"He's the most boring teacher ever. I received an ""A"" in his class but I didn't learned anything from him at all."
269,only likes things for himself. he doesnt care about anything. i havent really learned things in his class. i learned more things in 6th grade.
323,he listend to weird music and didnt really do much. his class was easy to get an A in. Yea thats all.
377,"he's really annoying and his class is so boring i wish i dindt have him, reather have m.r polenski twice a week"
431,Her class is pretty easy but she doesn't help and you onlu get an A if you do all the extra credit so its not really 'extra'
485,"umm, he is pretty...dumb and clueless, but it is funny. He is confusing though. aim is fun in his class....."
539,easy class but shes really boring and we do a lot of random boring things and that class is so irrelgular... ugh...
593,I think Mrs.Davis is an ok teacher I had a rough experience with this class and it wasn't fun
647,"The class over all isnt so bad, its just so boring and dry, although Oviatt is funny...it's my least favorite class, but I dont like history anyway."
701,"Red pen song = lame, her jokes = extremely lame. She also popped a bunch of things on us at the last moment. At the time, I didnt know she graded the way she did. But, the class was easy to pass, and i really wish reading was still that easy."
755,He's an awesome guy but he really doesnt teach. his class is realll fun though. cant take BC cause i didnt learn anything in AB. awesome
809,"Her class is REALLY easy. She says REALLY randon, weird things, and has threatened me with a B because I did a prank."
863,"Makes the class very,very,very boaring!!!! Writes demerits a lot.Not cool at all.Keep being a Preist!!!"
917,Mrs. Miller was a great person except all we did was notes. Her class was boring and I didn't learn alot because it was hard
971,"OK shes so non observent, you can get away with anything in that class, she is so stupid. The only thing i have learned in that class is how to skip."
1025,BORING!! geez really what's up with that novel. Annoying teacher and VERY PICKY!! Wants everything HER way
1079,Ms.Price you are a fun teacher and all but we really didn't learn anything new. We needed to learn more and we needed to be challenged.
1133,okay i admit he is not the best teacher in the world but hey who is? his students take advantage of him..BIG TIME.i always feel bad for him.hes a really cool guy and is open to learn anything but the
1187,"Mr. Sirois is a great teacher, very kind and caring. He definietly knows his stuff and the class is pretty easy."
1241,"really boring! an ok teacher, but i hardly learn anything because i can't ever focus in that class. she droans on and on, in every period. she could at least attempt to make the class interesting."
1295,she is dull and monotone and i did not learn anything! aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
1349,"SHE'S SO ANNOYING! I guess that you do learn a lot but she's a hard test grader,and she makes you do a lot of drawing and annoying activties...glad i dont have her anymore!!"
1403,"Extremely easy class, her emotions are on a two-way street, very baezed teacher."
1457,I think that he is really bad because he just tells us to write things down in our books and we dont learn anything
1511,Your nice sometimes but you need to make band more fun! dont take it to seriously youll never get out alive!
1565,Can be nice sometimes but just not clear and all be did in class is read (we read 20 books)
1619,SHE IS SOOOO BORING!!! I CANNOT REALLY KEEP AWAKE IN THIS CLASS. SHE TELLS US TO TURN OFF OUR MONITORS AND IS SOOO BORING. The class is ez though.
1673,"yea, shes freakin insane....no control over class.....doesnt know much german.....but the class is easy..."
1727,"well, she's ok, but gets kind of weird sometimes...when i was in her class, she used to yell at the computer!!!"
1781,not a real helpfull teacher. the work is easy. she is mean and moody. seems to have no real class plan. havent learned a thing in her class.
1835,mr.k is funny and all but like he doesnt teach us the right things. and he contridicks himself a lot. but still a funny and entertaining class.
1889,mind numbingly boring! i want to pull my brains out just watching him speak! ahh so monotone! and extremely unhelpful
1943,"BORING, very boring! I don't really learn in his class, but he's nice. He never raises his voice, but he's the most boring teacher ever, he tries to teach, but he isn't clear and his tests are hard, but he does curve a lot, a 76% in a B in his class. overall, nice, but boring and you cant learn"
1997,Tries way too hard to be liked by us. Her class is easy because we don't learn anything. We just start playing games right away.
2051,"On my first EA, all we did was type. Every day. Not fun and boring class."
2105,Cares too much bout her boyfriend and her cats and herself pretty much but can you say EASY!!!! very very easy teacher
2159,She's160 really boring and since she's really boring you cant focus on what she's teaching unless its a video.
2212,she yells to much and doesnt answer questions...her class is easy but not fun at all. chill out and lighten up
2266,his class is really boring and he's really bad at teaching. Not so smart and he's always whistling..which is really annoying!!
2320,whoever you guys are who think she is mean.you are wrong....she was boring and stuff but never mean and her class was the easiest class ever.i didnt learn anything
2374,"shes ok, i learned more in mr kilimkos office about math than in her room though.....i guess shes an ok teacher, but shes to not clear"
2428,you are really not cool. your class is the most boringest class I even have in the school. I rather do homework then stay in your class
2482,This teacher is extremely boring. You can fall asleep in his class. He is soooooooooo obessed with salmon! He is really mean and does not care about your feelings.
2536,"he has his phD, so he doesnt do anything in class n gets away w/ it. u just do group work n if u have a good class its cool. his tests are impossible, to compenciate, i guess haha"
2590,"really hard span teecher.. too much hw.. she tokks in span dat we havent been taught.. its really hard wit her.. and honestly, really boring"
2644,Its really hard to learn in her class because she doesnt teach really well. She is nice when your all quite and you follow the directions perfectly.
2698,"very bored durning class makes learning difficult, not a fun teaher does not help students with work when they ask for the most part overall very bad teacher"
2752,For guitar: easiest fun class. You can leave early and do whatever you want. You only learn by practicing not him. He's kinda weird but nice.
2806,"very hard class, very hard grader, tests are ridiculous esp. if you're not paying attention, class average 60-65%, everybody complains about his grading system"
2860,The worst! Tries to be cool but isn't....She also talks down to her class and we're pretty good...so imagine her bad classes!
2914,I think he's funny because he tries to act angry but he only sounds funny. He's boring but he's not a bad guy.
2968,"She tries to be mean, but oh boy is it funny when she tries! I have never had a class where I ever took a nap. I did in this one!!!"
3022,She is a faverite picker and can be quite mean if you get on her bad side... but besides that shes pretty cool. Her little stories are hilarious!!!
3076,"Overall Mrs. Corbin was trying way to hard to be the ""cool teacher"". But in her attempts she just became crabby and totally mean. Not a teacher you want to have if you actually want to learn in class"
3130,"ack boring boring boring. you know your in trouble when the only thing you look forward to in the class is a TEST! book work everynight, useless video lectures"
3184,I don't understand how she's ever received a good rating. She is insanely boring and a hard class...it's weird she's mean in the winter but is nice in the spring...still she's too boring to pay attention to in class
3238,"The most boring teacher i have ever had she dosent teach a thing, shes monotone, can't stand this class"
3292,"fiber arts. kind of weird, not totally there. very nice, but a very bad teacher. her class is very fun though."
3346,"she cool with you if you're in one of two situations 1: not in her class or 2: in her class and doing well..wen i went to her outside of class she sent me away, yea helpful.."
3400,She is a horrible teacher and all she wants you to do is just work hard when she doesnt teach anything to us
3454,don't hate her for the dog killer thing but her personality. sleep and cheat. thats how you pass the class.
3508,"her classes are so boring and its the same thing everyday. she doesnt use her own stuff. she gets it off aphistorynotes.net and gets her tests from some school in ohio, you can find them on the web"
3562,I didn't learn anything in her class and it was soooo boring. She always picked on me when no one knew the answers and you also play the same lame games everyday pretty much...worst teacher ever.
3616,"easy teacher, boring class. There was no single day that i didnt fall asleep but got a B as final grade the only thing she cares about is ""the Lance"""
3670,She is quite the intresting character but make thing hard to understand and then it is hard to take her tests
3724,"He's one of those guys who's hard but he makes you learn, which you have to appreciate. He's a mean person though."
3778,oh my god how many classes can you take to talk about a meter stick class is super boaring and much much hate to it
3832,umm i didnt learn anything in his class.he thinks hes always right(which he never is) and is too quite and suckyy for a teacher. he always promises EC but you never get it ?he shouldnt be a teacher
3886,EVERY DAY all we do is listen to her lecture about her powerpoints. It takes her FOREVER to grade tests and I get extremely bored.
3940,Talks too much. All of his Assignments are Very Hard and his Class is Very Boring!
3994,"Gives us projects on stuff he never taught us. It's a challenge every day to stay awake in his class, it's by far my most boring class."
4048,"mr t is chill but definitely needs to change the way he teaches. class was too boring and labs were pointless, no one really cares about earthquakes or rocks."
4102,"mrs wiley... hmm well besides the fact that she has never actaully taught our class i guess she is cool. but i didnt think her class was ""independent learning""."
4156,"As a principal, she is the worst. She took away all of our fun privileges. As a senior, I didn't get to do anything fun. The Growl (yearly homecoming pep rally) was stupid. They didn't do anything fun, everything was so chill before she got there."
4210,"Awful teacher, knows what he's teaching but isn't helpful at all. Very bookish class and doesn't know how to make an interesting class. The good side is that it's really easy to pass."
4264,"I don't think we learned anything all year. His class was so boring, and everyone would just stare at the clock, waiting for the bell to ring."
4318,He tries way to hard to be best friends with the students instead of actually teaching us! Way to easy and doesn't want to be teaching at all.
