,Text
120,She gives people stupid punishments for no reason! She's just weird sometimes. And she always brags about het daughters!!uuuuhhhhh
240,I don't have u but every one says they don't like u and u r realy mean.mrs SiNgEr is freaken cool though so it's all good-for her!
361,"The only thing that I have to say is that she gets so mad at some little things. she has 0 tolerance. We are not perfect, so why does she want perfection."
481,"I dislike Mr.siskin. He is very strict and has many mood swings. Sometimes he might be nice, but he is very STRICT!!!!! He bugs me!!!"
602,He is the scaryiest person ever. i hate him sooo sooo much. i don't no why anyone would think that he is cool. he scares me a lot.
722,"Thompson, not a cool guy. Doesn't listen at ALL to anyone, especially the percussionists. He hates them."
843,He doesn't teach very well and he gets a attitude very easy..He forgets things alot....he yells at the people who tryin to hook up!
963,I don't like her. she's mean alot of times to certain people and yells at them for no reason. Shes ok though
1084,terrible teacher and i'm not saying that because i have a grudge or anything. had him several years ago. and he was not good. THINKS HE'S WAY TO COOL!!
1204,She is not the teacher I thought she was. Has her favorites and can yell sometimes for no reason. She is not a favorite for me.
1325,you are so mean i think you have something against me ever since you accused me wrongly of breaking a key off the computer GET NICER!!!and i hate typing!
1445,"SHOULD RETIRE!!omg i cant stand her, she hates me and the feeling is mutual! GAWD!!She is so deaf/blind, we have spitball fightsin class and she dont notice eva"
1566,he always tells me that i cant just wait around and that i have to move faster but he iiiissssssss so mean and i think people should think he is sooooooooooo annoying
1686,"she doesn't help at all, is too strict and cares waaayy too much about having ""plugs in your ears."" ugh"
1807,Mr Syvret is mean and hateful. he says mean things to make some kids feel bad. He would proabably be cool if he were not so mean to some. It is hard to watch.
1927,"I can't stand her, she thinks she has so much authority but in reality she has none, she should focus more on teaching because she gets annoying when she yells."
2048,She always yells at people for no reason. Some of her projects could be really confusing but she is sometimes nice.
2168,"OMG! She's so scary! She said to us that she had made a big stink! I mean, what?!?!?!?!? I'll warn all you fifth graders! She is the most scaryist, harraser ever"
2289,gets ticked off about the littlest thing. the worst is that he does not have a clue about how to be a good band director.
2409,If you call sitting down at your seat and copying notes fun then you will love mrs. H. I personally HATE her.
2530,"Not the best teacher around. She doesn't explain things well, and she loves to argue. She always thinks she's right, and she is very stubborn."
2650,Lewis is a very bad teacher....none of the kids like her.she has alot of bad moods and sends people out and gives them detentions for NO REASON!!!
2771,ughh omg shes soo mean to us! she tells us 1 thing and the next day she changes it! ughh!!! and soo annoying! she doesnt even teach anything! just gives us work and says go and study it! :(
2891,I think Mr. Maunard does it for the best but is way tooooo strict. You need to lighten up and stop giving so Many projects!
3012,out of all the pe teachers we have he is the only one that i don't like. he is mean and very strict!!!
3132,she doesn't yell at people for something they've done per say. but yells random parts of sentences to get peoples attention. she has their attention. not in a good way. at all. BOOO.
3252,Mrs. zito was the one who hired her so this dosent really suprise me at all i mean she hired miss villaverde...and miss bennett is super mean and gives us think sheets for no good reason
3373,he is ok once you get to know him but is mean mr .kraft could be a better teacher if he wasnt so krabby.he is mr.krab
3493,"Picks favorites, is never clear in her instructions, is meaner in the afternoon than the morning."
3614,she is kinda mean. and sometimes she doesnt know what she is doing. i dont think she ever has an lesson plans.
3734,"I hate her! She is really mean, and if there are a lot of people talking when we're supposed to be doing work, she won't yell at them, but if someone else starts tapping their foot, they get detention"
3855,"Listen, she is a nice person, but she HATES kids. She means well, but zero patience for teaching what she's supposed to, so she just eats and yells!"
3975,I had her as an aid and she was kinda nice but she was very sarcastic and kinda mean and i honestly didn't like her that much!
4096,"He is pretty cool SOMETIMES, but you see he can be on science on one minute and talk about something else he next.. Gee. that's good, but he's cool"
4216,"At the beginning of the semester she was real cool, but the end, she is very rude. She snaps at everything you say. She picks favorites, and usually favors guys"
4337,i hate her so sosososossososo much. shes easy..but SO BORING! she doesn't do anything but talk! and she doesn't even call on anyone! i mean like OMG shes just like soo boring. omggg!!! i cant stand her!
4457,"ugh were do i start?shes so annoying and she thins shes popular, she dissed mr.wheet just b/c everyone loves him and shes jealous b/c hes a better artist/teach!"
4578,I was in her band for 1 and 1/4 years. you know y? she always screams at you for no apparent reason!!
4698,bad teacher omg we had soooooooo much homework and i hater her rode bicycle 2 school and almost ran me over bad bad bad grrr
4819,VERY moody and mean. Always told us she hated our class. She must have written her own good reviews. No one else would! BTW her new name is Ms. Pierce.
