,Text
47,"Lacks of effort and motivation. This teacher is what I call ""union contract teacher"" - only does whats in the contract."
95,She can be condescending and very much unhelpful. I found that the class setting itself was highly dependent on her mood.
143,Very poor attitude with students. Becomes angry easily and singles out students for mistakes. Loves to condescend. Several parents have had meetings with this person and no changes.
191,not a fair administrator. not respectful to parents or students. Students are afraid of her. Embarrasses students and disciplines excessively.
239,"his inability to deal with a student face to face is a sign that he doesn't believe his students r responsible enough to discuss ""grown-up"" issues. chrisR."
287,"Terrible teacher, does not care about students, would take off points for no apparent reason. Makes assumptions and has very linear mentality."
335,"One of the reasons I support 'No Child Left Behind' ..clearly, she is one teacher who needs to be left behind."
383,She is very strict and has a tendency to be very sarcastic and rude to her students but expects respect back.
431,I have tried to contact this teacher 3 different times and there has been no response. She refuses to communicate and I am a very unhappy parent.
479,"A very aggressive and personally insulting person. Afraid to take responsibility for what he does, and only concerned with himself"
527,She tries and fails to connect with the students. Not a single student or teacher felt she did an adequate job while i was attending.
575,This teacher is a u know what! She doesnt care about her students and she is a very rude person! She never helps her students & makes them have low selfesteem!
623,She is very difficult to communicate with and is extremley unplesant to talk to due to how rude she is to parants and students
671,"Bixby is rude and belittling to her students. Her general attitude is poor, the lack of interest in her students succession is apparent."
719,Ms. Stubbs is a insufficent teacher and is not capable of creating a safe and caring environment for the students she teaches. Please do not get the idea I don't respect her because the state of her
767,If you have issues do not have this teacher she will take advantage of you in a very negative way. She looks for vulnerable kids.
815,"Don't recommended. As a parent my child states that he is constantly on his cell phone and is very uncaring when it comes to when my child needing assistance on a problem. We do not need teachers like this especially, Ian Marshall."
863,"As a parent I feel that Ms. Alemany should choose another profession. She is inadequate as a teacher, who does not care about her students."
911,"Absolute horrible teacher, treats my child with extreme disrespect, there is a difference between using authority and downright criticizing and abusing my child. Mr Burbey is one of the reasons I do n"
959,Ok teacher but could care less about you. She does not understand students and will not help you to succeed
1007,This is the only teacher my child has ever had an issue with in 11 years of schooling. She has zero compassion for students and their personal circumstances. She is unwilling to adjust her approach to a way that child might learn more effectively. My child and I have both reached out to her to try and get my child the extra help to succeed and she refused. This teacher marks assignments as zeros for my child when they are complete & correct because she assumes they aren't before checking.
1055,He makes no sense in class and is extremely lazy. He's also inappropriate and has little authority over students.
1103,It has been an awful experience with my child being in her class this year. She displays an unwillingness to work with parents or resolve issues. As a classroom leader I was shocked at her lack of accountability or willingness to escalate a matter if she was incapable to resolve on her own. When met with an opportunity to explain her actions she was only willing to offer an excuse rather than a reason. Very disappointed.
1151,Janet Payne has no tolerance for less than perfect children. She uses harsh words shouted in their ears and belittles infront of the other children. Unless your child is stellar in the classroom bewar
1199,If your child needs extra help or is disabled in anyway Mr. Woo is not a adequate teacher. They will not receive any understanding or support from him. He does not follow an IEP and will complain that it is too much work for him to follow. He has has a terrible communication problem even with parents. I have never experienced a teacher who could be so cold and heartless to a child in need and am surprised they would keep him as he is a detriment to a struggling child's self-esteem.
1247,"I was glad to see that she was no longer intimidating the children in my child's class. Does not treat the students with respect unless,of course, they are hers own children."
1295,"Very unhelpful, makes students do everything on their own with little support, believes they should do everything themselves."
1343,She has a problem disciplining kids. I am a parent and i do not like the way she treats children in general.
1391,Don't respet the opinion of the parents her criteria is poor and she don't respect the opinion from her own staff
1439,Fred is a knowledgeable teacher but is not helpful or clear in his instructions and meetings.
1487,"A drill sergeant not a teacher. Interested in fame and not in teaching, helping or the students wellbeing unless it renders them from performing."
1535,"I'm a parent of one of the students, a lot of disrespect has come to my child about this teacher like not going to the bathroom, or behavior, I didn't raise my child to have bad behavior and he does behave. This teacher does not show a lot of respect in students, and she is not fair to the students as when it comes to raising your hand and questions. I don't recommend taking this class unless you really want to have a miserable day most of the time."
1583,I am very unhappy with the lack of professionalism here by the faculty nd the things they say. (Especially this one)
1631,"She is nice...unless she is your teacher. she is extremely by the book, and will not help you at all outside of a classroom setting."
1679,"If you are looking for a teacher just to get an A, take this class. She Isn't a thought provoking teacher, or a very nice person. I don't like the way she publicly humiliates students by calling them out or speaking in a very sarcastic tone that is quite rude. Lack of maturety"
1727,"My child comes home every day, in tears, bawling on my shoulder. Carol Ward is an awful teacher, with no respect for her students. The homework they are required to complete each night, in such little time, with no explanation of how to do so, is unbelievably unacceptable. This problem should be resolved VERY soon."
1775,"Completely unprofessional; she is extremely disrespectful and biased to students, and walks out randomly while teaching."
1823,"She's horrible. Mean, often makes rude comments and tries to get students she feels aren't worthy to drop out.
I've heard her make many comments to students that could only hurt their self esteem."
1871,"Mrs Yetto has turned more students off to music than she will ever inspire. She uses bullying and fear tactics as instuments of ""education"". She does not provide substantive instruction or materials."
1919,Mr. Frank is a teacher who doesn't help the students when asked. Most students do poorly in his class.
1967,Very disrespectful to his students and expects them to treat him with respect that he doesn't deserve. Very disruptive during mass by doing dress code checks.
2015,Certainly one of the best teachers Westlake has to offer. If you want your child to have a great kindergarten experience I recommend him!
2062,I find it frustrating when Miss Loftus sends notes home. Wouldn't it be more professional to call me. I truely believe she doesn't have enough experience with education.
2110,NOT a good teacher because he refuses to talk to students and parents. He's very unrightfully arrogant.
2158,She cares to much about sports and does not recognize excelling students but rather those who bring home sports trophies.
2206,"Rude and doesnt listen, gets mad over little things and over reacts all the time.. would not recommend him to anyone"
2254,She uses inappropriate words at my dear child. My child comes home with alot of work and cries when she get home. Ms.Stewart yells harmful things to students and complains alot. My child life is at risk everyday.
2302,she doesn't respect students so she doesn't get respect back also she doesn't care about teaching anyone
2350,Mr. Cilonis is condescending and fails to provide help when asked. He doesnt make me feel like he cares and constantly complains.
2398,Students who are lucky enough to have Mrs. Moore as their freshmen English teacher will leave her class better writers and more mature individuals. Truly in the top few teachers I have had.
