,Text
50,she is so strict. she is also very lazy. she should retire because my dad had her when he was in elementary school!
100,"Mrs Cerling is not a qualified woman to become the dean. Cocord's discipline will be gone, because nobody respects her. Hope they hire a good assistant dean."
150,"Seriously, is he a principal? I think he is just a building developer. He nor the school cares about children. But cares for the money that they bring and will build the new School at UTD."
200,"ego gets the best of him, i had him as a football coach and most of the guys including myself didnt have the best of experiences with him."
250,SO GLAD I WILL NEVER HAVE TO SEE HER AGAIN!!!!!!!!!!!!! WHAT COMES AROUND GOES AROUND!!TOO BAD I WONT BE AROUND TO SEE IT!!!!!!!!!!!!!!!!!!!!!
301,"can't coach worth a penny, doesn't recognize talent even if ronaldo was kicking him...poor work ethic, not qualified,not helpful, not funny, aliens don't exist!"
351,He is too afraid of what other thinks so he is unwilling to make a decision that might go out on a limb and make the school better because someone somewhere might object
401,"Doesn't it seem that she wants to coach the ""winning"" team? Softball, Volleyball and now Basketball? Seems like what Flo wants Flo gets. WAKE UP FHS ADMIN!"
451,"""I can do 100 push ups in 3 minutes and bench press 200 pounds"" Boi, no you can not."
501,A fairly hypocritical principal. She yelled at us for getting up to throw trash away and then yelled at us for not throwing trash away.
551,He doesn't let us bring backpacks into the room and he doesn't move his neck or eyes. He is very stric and his teaching style is odd.
602,She isn't the brighest teacher you have ever seen considering she lock herself out of her house/car in 10 degree weather. She isn't the best teacher ither.
652,Linda you have drove every one good away from that school because how incredibly mean you are and how you cannot work with anyone someone needs to open their eyes its a SIN
702,"HEY RUSSIA! You were the best teacher ever!!! 'wake up sleeping beauties' 'where'da, geomabee go?' 'czecharoundchl, amzxwoiuerm, alkdn me0w.,m! ahahahah (typical russian phone call"
752,Just terrible Nurse...She just needs a sniffle to send the kids back home ...Much worse staff roams freely in school and the students are subjected to unfairness and sent home at the slightest excuse..Looks like she is paid to find kids who can be sent home.
802,Ms. Wren has no idea what she is doing! Our school deserves to have a better (or at least more intelligent) principle. She threatened me and should be fired.
852,i personally dont think he is the best teacher or helper in the school. i would prefer to see ms. christy or someone that runs a program at the school take charge. some of my friends also agree that h
903,diver doesnt care about the students or what we think he took away the hat rule just when i was going into my freshman year and he ruined homecoming for everyon
953,He is destroying the school.Many of its best teachers have left because of his decisions. If he doesn't leave soon I'm afraid that their won't be a school left to save.
1003,"If I'm right, one time, someone in my wing jumped out the window, ran around the school, and came back in through the door and she didn't know... or so I heard from a LOT of people..."
1053,Mrs. Fas is a GREAT teacher!!!...when theres a 53.65589574% chance of rain on a dark camel living under a gigantic smiley face.
1103,"It is amazing that this ""Leader of our school"" is such a poor role model; he never smiles! Why not try to actually meet some of us rather then frown at us."
1153,"he does no work, he lets reagan take care of everything. he just chases around people like ryan around all day."
1204,"He should ride the short bus. I do not say this militously, but his first season as football coach, his JV team went 0-10."
1254,Mr. williamson has a hearing problem and his eyes are not too good either as he is unaware of what is going on around him.
1304,"He's taking away all the traditions that we have at Owen. That's totally wrong, especially considering that many of the teachers actully attended school at Owen"
1354,She tries to keep artwork and pretend like another school stole it. She's done this twice to my paintings.
1404,"Coach Ford is about the laziest human being on earth! He never taught a day I was there!! He sat at his computer, doing nothing every day. He doesn't care, because he thinks being a coach is enough. Why do we pay these people to be babysitters?"
1454,Dr. Kramer comes into the school in his first year and thinks he owns the place. he is arrogent and thinks he knows whats best for the school and is changing things that have been in the school for ye
1505,Has driven away many older teachers. Is unfair in dealings with students and faculty. Has hurt the reputation of the school.
1555,"Not a good study hall teacher. You tell him things that are private, and he gets people in trouble because of it."
1605,"They call this lady Cruella Deville,,,The only time she was seem to be friendly was at the Jr Sr prom and was she crocked,made a fool of herself . This lady is all materialistic not to be trusted.So sad to see false self asteam in an administrator ."
1655,Please just get outta here. Please. I beg you. Take some holy water before entering this godamn class.
1705,HAS FAVORITES---UNLESS YOU'RE FAMILY IS MADE OF MONEY AND GOING TO DONATE TO THE SCHOOL--DON'T BOTHER WITH HER--SHE WON'T BOTHER WITH YOU!!!!
1755,"The only people that can tolerate Mrs. Finn, are the people that have apparently never entered ""her"" library."
1806,It's just such a shame how much the program has gone down since he became director. Marching band used to be so much fun and now it's just miserable.
1856,"she's a total b i t c h, and she totally ruined our school. she is a bully to both teachers and students, and i hope that b i t c h gets fired soon."
1906,Is unclear with things and makes decisions for other people. I mean seriously can I get a wine glass at prom????
1956,As a parent I have to agree that Mr. Pellegrino is one of the worst adminstrators I have ever met. The Berea City Schools need to do some major house cleaning if they ever hope to pass another levy.
2006,"Should have quit after sustaining massive head injuries. Horrible coach and teacher, but very nice guy. Poor role model"
2056,"EGO, EGO, EGO,Does this guy have anything else to show us? How about some quality time with students?"
