,Text
78,Lobdell is a hard teacher. He teaches very badly and fast ! He doesn't explain the material very well.
157,Ms. Busa has to use a calculator for her lessons and that makes hard for us students to understand her.
236,"She has absolutely NO patience. She rushes through all the materials, and does not clarify anything to the students. Sometimes, she doesn't even know how to explain things."
315,shes terrible for extra help. in my class only the kids with tutors are doing well. basically if u have her ur screwed
394,"...I have had to help people in my class understand the most simple of things (and have had to get helped) because Mr. Miller makes everything simple impossible, and the hard...lets just not go there!"
472,I have her as a math focus teacher. She isn't really helpful when it comes time to explain things.
551,"Dr. Headly did not explain the material clearly, he easily loses his patience when asked to go over something they don't understand, and he does not make himself available for help outside of class."
630,Good teachers that know her stuff. But when it comes to teaching she is not good at all. She jumps around topics and is very confusing. She is also very strict and an immigrant.
709,Ms. Carlisle doesn't know anything. She gets mad for ridiculous reasons and doesn't explain anything.
788,She is the worst teacher I have ever had. Everyone in class ends up trying to teach each other because she can't explain anything.
867,While lenient with homework - she considers copying from a projector teaching. She didn't help with the harder concepts at ALL.
945,he is an okay teacher...does not prepare you for anything though...and can be very difficult to understand at times.
1024,"Hate him all he does is laugh after everything he says, very unclear and expects class to fully understand all even though he doen't explain it well."
1103,Can't understand her at all. She messes up simple math quite often and is overall bad at teaching.
1182,"She stays after to ""help"" us, but she makes other students help us. Everyone doesn't get math. If they do, they ask smart people for answers"
1261,She can't keep her classes' attention long enough to make everyone understand and gets frusterated when nobody understands what she didn't teach.
1339,how did someone who can barely do math end up teaching haverford's most advanced math class? don't take BC!
1418,I could never understand if this teacher was all their.She seemed intelligent but I had my doubt's sometime's.Her class is hard and expects alot out of her students
1497,He's not good at teaching basic geometry... My son is failing because of this.
1576,"the explanations she gives are impossible to understand, and the exams don't make any sense.
Teachers need to understand their subject before trying to teaching it to students."
1655,"he is a good teacher over all, he got his point across but his teaching strategies didnt work for me and he goes way to fast."
1734,she isn't very helpful and is not a very good teacher for this subject. she doesn't listen very well to students and does not try to help them.
1812,"I have to help my son every day, because his teacher doesn't explain things clear enough for him."
1891,"god, it's so difficult to understand this man. He can pronounce the words ""football"" and ""half"" bad wrestling coach too."
1970,"Mrs.Rivera is not a very good teacher I haven't learned anything in her class she doesn't clearly explain everything and when she does explains she just reads. She makes us do work for future ""work"" thats she is supposed to teacher later but she never does"
2049,"Horrible at explaining, you ask her a question and she answers something completely different. Doesn't make sure everyone understands the material before moving on, and isn't thorough on anything."
2128,i have always understood math was always able to get good grades always A's an B's in math... wel that was untill i had her. unhelpful. doesnt explain anything.
2206,"Really struggle to understand this teacher, she means well but is not able to get ideas across, then gets angry and waves her hands a lot when no one understands."
2285,"If you have him,Good luck! His teaching skills are poor. He moves way too fast and he doesn't know how to explain anything. He can not do basic math in his head. If you go for extra help outside of class time he doesn't provide much help at all! If you're stuck with him, get help from Mr. Sherman or teach yourself with the book!!"
2364,"I really don't like her way of teaching. Her lessons are basically the formulas or whatever one could find by himself in the summary section of the textbook. Barely teaches us how to apply those formulas. Goes super fast. Spends too much time making students put the homework on the board and explain the questions by ourselves, which is not helpful to most of the other students. Her class is the reason for me to think that I dislike math for the first time."
2443,"He's really hard to understand, doesn't care much about how we do the problems on the HW and doesn't know when a student needs to be switched to another math class because they are exceling in his."
2522,"Not a good counselor, made everything (scheduling classes, college applications, scholarships)difficult, and never helpful with other problems;Often tried to limit students and have them underachieve"
2601,Completely out of reality doesn't explain everything doesn't stay on topic blames everything on the students
2679,He is rude and micromanages EVERYTHING. He makes things needlessly complicated and insists everything be his way
2758,she talks about stuff that is not even math or science and doesn't teach us anything and when she doesn i dont understand it.
2837,unless you're a math wiz and can self teach yourself math then great but other then that precalc honors was not pretty
2916,"Her class isnt hard but she acts like we are all geniuses and should know how to everything without being taught. She has tutoring but normally wont help yu, just have you hang pasta from the ceiling"
2995,"She doesn't explain what she wants. She glosses over everything and leaves it up to the students to understand what she wants. If you want to be bored and confused, take her!"
3073,"Marshall could be the worst teacher there is for Precalc. Doesn't explain the material well enough, no step by step when teaching problems, and doesn't care that the class isn't ready to be tested."
3152,"didnt understand anything. maybe its just the subject, but she didnt help or make my life any easier."
3231,Mr. Dake fails to help the students when asked and quizzes and test were extreamly hard becuase he did NOT.. expalin enough
3310,"Good person, clarity-clear as fog. Hard teacher to follow unless you go in for help, even then its a pitiful sight"
3389,Worst teacher I have ever had. She makes everything confusing and NEVER teaches.
3468,I just can't learn from her. She doesn't teach well at all! She's so cute and nice but her class is super hard unless you're good at chemistry -_________-
3546,She has voice that makes it hard to understand her. I did not really respond well to her teaching style.
