,Text
56,"uses programs to teach students, does no self teaching. Often is unaware of subject she is teaching"
113,"Mr. Hoffman, your teaching methods were very ineffective and you didn't do a good job at teaching the class."
169,It is difficult to believe that she knows what she is doing. She does not inspire the students. Mrs. Williams does not prepare labs very often and she is a master at tedious work.
226,"she doesn't teach us, and doesn't give us clarity on our knowledge and topics in class."
282,Teaches by a book. I could teach the class just as well. Follows a strict pre-set curriculum with no creativity or enjoyability.
339,She is nice but the requirements are not clear; her grading system is confusing and the learning materials are very primitive. She does not teach much but requires a lot.
396,He is on a sub-par level in terms of teaching but what he lacks is the ability to make the students interested in the subject his class is unnaturally boring and he makes no effort to change that.
452,She is extremly disorganized and easily distracted from what she is supposed to do to get paid. Teach. She doesn't care about the students or their grades atall
509,"Idea of challenging is withholding information from students. Misleading notes, easily distracted, copies verbatim from textbook."
565,"This woman was the worst teacher I ever had. She knew less of the material than we did. She confused us by telling us the wrong information. She clearly does not enjoy ""teaching."""
622,Poor classroom management. Does not follow the most basic principles for creating an effective learning environment.
678,She doesn't teach. She isn't very helpful and she doesn't have a challenging class.
735,"He isn't a teacher, he's a babysitter. I learned more about health from daytime television that i did from Lamp."
792,"Style of teaching unimaginitive, bland, simply dictates, no teaching involved. Has her own ""way"" of doing things, so you can't teach yourself from the book."
848,"um, lets see. she has no control over her class (4th period mainly) and is very unclear with what we are supposed to do."
905,"He needs to know the subject material better, so he can answer our questions instead of referrirng to the textbook."
961,"Teaches too fast, cannot learn from her, makes students memorize instead of actually teaching the subject"
1018,"Mrs. Burgess has a one-size-fits-all approach to art instruction, rather than letting students discover their creative selves. Students are expected to learn ""techniques"" and replicate them in projec"
1074,"Ms. Rainey's class was a complete and utter waste of time. She does not know the material she is teaching, and resorts to emotional appeals."
1131,"strays greatly from proper teaching protocol, ineffective lessons. thank goodness that she's polite, though."
1188,She's a sweet person but doesn't know how to teach/relate to students. She doesn't clarify chemistry topics. (especially AP Chem)
1244,"Mr. Ashley is a very frustrating teacher. He is never clear with his teaching, and mostly just has us do worksheets in class."
1301,Mrs. Reese is not a very good teacher. Her techniques in teaching are not effective and did not help me whatsoever.
1357,jones enjoys informing his students of their lack of talent/potential because he played at carnegie hall and it was the pinnacle of his life. FAIL.
1414,"""Her lack of given clarity displays difficulty in her classes, but the main reason I dislike her is due to her way of singling out certain students. For example, a boy in my class is always picked on"
1470,"Feigenbaum- is a nice lady but an awful teacher. Her discussions go virtually nowhere, in fact, their almost completely content-less. Although she attempts at ""social programming"", it's ineffective."
1527,"Mrs. Bierwirth is a wonderful person, however she can't teach. During class, the students have to compete for attention because Mrs. Bierwirth talks to herself."
1584,"Mr. Poley is an intelligent man, but he is just not equipped to teach high school students. I feel bad that his potential is wasted at Woodward."
1640,"Overall, a nice teacher, but her teaching ability is not that great. She also often has a misunderstanding of the subject matter, and the class degrades from her teaching, to students teaching her."
1697,"The worst English teacher I've ever had. Very unorganized so we had to skip the most important book of the year, always picks on certain students, and seems to lack focus on her classroom activities."
1753,he should not be teaching a top level band. he does not have the experience or knowledge. he also lacks control as well as respect from the students.
1810,Mr. Archangel has very little knowledge of the subject matter that he teaches. He has lectured on subjects many times and has to be constantly corrected by the students. Additionally he consistently interjects not fact but rather opinion into world and national events but tries to pass them off as fact. He's typically prepared for class and often seems as if he's trying to figure out what we are supposed to be doing. Grading policies are never objective but very subjective. Bad...just bad.
1866,Robotics robotics robotics...this man also doesnt remember your name if u werent on the robotics team
1923,"essentially, he likes to say essentially alot and essentially doesnt teach very much.. i had him for 3 years"
1980,She has the good concept of preparing students for college difficulty but is very bad at teaching and often gives way too much work.
2036,"Her class is very difficult. This would not be so bad if she was good at teaching. She doesn't answer questions clearly, contradicts herself constantly, and is condescending. Nice person though."
2093,"I loved Culinary Arts 1 but the second year is a disaster. The curriculum is very disorganized, She cooks fairly good but is extremely laid back on discipline."
2149,horrible teacher and seemed over-consumed with attempting to assert her power. However much I hated her class (easily the worst class I have taken at lchs) she showed massive amounts of improvement
2206,"He's often very vague and isn't very helpful in developing writing. I like to write, but I haven't learned much in his class."
2263,"He's ok but his way of teaching isn't too good. He constantly uses sarcasm to teach and that causes there to be a lot of confusion, resulting in poor grades."
2319,"I hated this class, and have no idea why she is allowed to teach at all, let alone teach AP students."
2376,Mr. Johnson cannot teach chemistry for his life! All he does is confuse me with his wacko methods. He is also very rude to certain students at times.
2432,Being in a class with Mr.Denbo is extremely slow-paced and boring. His teaching style is strictly by the textbook and absolutely no notes are given to students. Most students are asleep by 15 minutes
2489,"Mr. Mikula has greater than 70% of his students consistently failing his class. He does not provide any quality instruction. For example, his teaching method is primarily look in the textbook answer the questions, if you can't figure it out on your own...too bad for you. He takes no ownership of the results of his instruction. So much for accountability...huh? I hope they bring charter school funding so some kids like me can get good math instruction. He does not know or care about us."
2545,Armada's class aint the kind of class I find that would make my life easier in the future but it has improved my vocabulary. I dont have much to say. It's very unclear.
2602,"very smart person but completely lacks the ability to actually teach. take her if you enjoy low grades on tests, teaching yourself, wasting a class period, and not being able to go in for help!"
2659,I strongly feel as though she doesn't ever listen to me and extremely unclear. She teaches with videos(um is that really teaching)
2715,"She focuses on too much critiquing, and not actually getting hands on with the subject. wish i got garner"
2772,Self-study is your only hope in her class. She pretends she knows the material well but only trails off to another topic whenever she can't answer your questions. Disorganized and irresponsible! She's
2828,"My son had the unfortunate experience of being in Ms. Taffaro-Chica's class. She is a very unpleasant person to communicate with, and my son was exposed to very little new material in her class. Overall, this was a compete waste of time."
2885,"Mr.Beahan was ""let go"" because of his poor teaching skills, use of profanity, and inability to follow school rules. I had him last year and didnt learn a thing,"
2941,I particuarly did not like ms. jackson because she was so unorganized and did not teach us very well. I am so glad she is leaving McMeans to teach at an elementary school!!!
2998,I absolutely would recommend this teacher! Lovely personality and beautiful hair! I love her teaching style! Her class was EXTREMELY good; the teaching style was truly impeccable! She is perhaps one of the most knowledgeable persons I have ever had the privilege of meeting! She is as knowledgable as the Renaissance polymaths of Da Vinci and greater!
3055,"I failed this class because she wouldn't show me how to export my final exam so I had to take a 0. She lacks review time, is untruthful, mean, and unintelligent. Her degree is in chemistry"
3111,He is absent from class often and is unclear and imprecise in his lessons. i have learned more on my own than from his class.
3168,Class is very easy! Minimal effort required to pass. She doesn't teach the material well enough for it to be any use to you in college.
3224,"Nicole is a very interesting teacher. although she tends to sit back and let the students do the teaching, she still is a very enjoyable person to be around."
3281,"No teaching involved. Either preschool work, or being ""inspired"" from her's. Always grades from her personal standards and not quality. Can't have ur own style"
3337,"she was never clear and if she could at least treat us with common courtesy please?did not know the curriculum, taught high school material to middle schoolers."
3394,"He knew the material but failed to present it in an interesting way, and did not do well explaining it.. He was always disorganized and usually pretty moody."
3451,"Extremely unorganized and clearly poorly equipped to teach an online class. Seems pretty lazy to just attach a calendar to the syllabus and expect everyone to go about their business without any instruction. She opened a quiz without ever announcing it. Really not looking forward to the rest of the class. I currently have another online class in which the teacher is extremely active, involved, and helpful. Not this lady, though."
3507,She can be very condescending and often gets lost in the middle of an explanation and gets students often lost. She does try to be very helpful but often confused students rather than helped them.
3564,He's not a teacher - he's a chiropractor. He conducts his class unprofessionally. he thinks that it's more important to fool around with the students than to teach them.
3620,"Oh gosh where do i start, first off she may have had all the good intentions in the world but that just doesn't make up for letting the talented students teach the entire course. She taught subject ma"
3677,"She is very useless teacher, and I would probably learn more from a rock. In addition, her tests are difficult not because of the content, but instead, of her incompetency of teaching correct and relevant materials. Many times, she grades in a very unfair manner, and tends to give much higher scores (up to 20%) to students she likes more. Also, she is very boring and does not answer questions clearly. If you get this teacher, good luck (because you will need it)."
3733,"honestly and solely on the basis of his teaching ability, he is the worst. he was unhelpful in and outside of the classroom. he clearly spends more time crafting his dull wit than his lessons."
3790,"The worst teacher I have had. Although I was one of the quicker students in her class, the only reason I passed the regents was by reteaching myself the year. F"
3847,does not know the subject matter at all! the only classroom she should be in is one where she is being taught the material by a PROFESSIONAL
3903,Made me drop physics. He should have retired long ago. Science is incredibly interesting and should be taught with enthusiasm and passion. Garland didn't do either. Try to get a different teacher!!
3960,"The topics that we are covering seem easy, but she is making it 20 times harder!"
4016,One of the most disorganized teachers I have ever had. I thiink he gets rigid because he is so disorganized. Not a whole lot of intellectual steam.
