,Text
37,She lacks confidence. And she isn't very sociable. She should follow mr ortega more because I learned more in his class
75,"very unhelpful, and fi your class is rowdy she just plain refues to teach the material. Don't be surprised if your class average is a C or D"
113,"Mr. Hoffman, your teaching methods were very ineffective and you didn't do a good job at teaching the class."
150,"Mr. Garrison, though very kind is not clear in teaching and does not go through material adequately enough to prepare some students for tests."
188,"Is perhaps the most unqualified teacher to teach at Bronx Science. Her lack of understanding in the subject matter is extremely stunning. She, in fact, does not know the material prior to teaching i"
226,"she doesn't teach us, and doesn't give us clarity on our knowledge and topics in class."
264,She is extremely unorganized but very passionate about what she teaches. She isn't great at answering questions though.
301,Ms. Bonelli does not teach class and relies on her students as teachers for the class. She expects students to understand Java without any instruction.
339,She is nice but the requirements are not clear; her grading system is confusing and the learning materials are very primitive. She does not teach much but requires a lot.
377,She seemed to have no clue what she was teaching us and very rarely answered our questions. I found her class tiresome and noneducational.
414,"Extremely limited knowledge of her subject. ""What do you think about it?"" is a common answer to questions. Vague, unhelpful, unyielding, and an incredibly slow grader."
452,She is extremly disorganized and easily distracted from what she is supposed to do to get paid. Teach. She doesn't care about the students or their grades atall
490,"He doesn't work here anymore, but his ""teaching"" was simply him writing on the board and leaving the rest to the students. Incredibly unhelpful and simply directed students' attention to their peers f"
528,This teacher Connot teach. She teaches like she's reading a script. She I also extremely unhelpful. It seems as though she hates teaching because she doesn't put any effort into making sure he'd students learn.
565,"This woman was the worst teacher I ever had. She knew less of the material than we did. She confused us by telling us the wrong information. She clearly does not enjoy ""teaching."""
603,"one of the worst teachers in the school. she rarely bothered to show up for class & the student teacher taught in her place. sloppy, uninterested in teaching, thumbs DOWN"
641,This is why scores continue to spiral down. Teachers who indoctrinate students with social marxism instead of teaching them facts.
678,She doesn't teach. She isn't very helpful and she doesn't have a challenging class.
716,"Ineffective teaching methods in class. Doesn't teach, rather he gives reading assignments then worksheets. No quality teaching or grading fairly"
754,She actively teaches students and the students actively do not understand. It's a teaching problem
792,"Style of teaching unimaginitive, bland, simply dictates, no teaching involved. Has her own ""way"" of doing things, so you can't teach yourself from the book."
829,Not sure why she teaches chem - she doesn't explain things well and she definitely doesn't like teaching very much. She is dedicated to chemistry but is unable to explain more complex things. She's not that knowledgeable.
867,"Jokes around too much and doesn't provide answers to practice problems he assigns. He relies on other students' answers which would very well be wrong, leading to the fact that he does not prepare his"
905,"He needs to know the subject material better, so he can answer our questions instead of referrirng to the textbook."
942,Link is very unclear at all times. His actions deeply disturb me. His teaching style is horrid in the extreme because IT DOESN'T EXIST. HE DOESN'T TEACH.
980,"Shouldn't be teaching high school-often used leftist reading material in place of assigned text, did not cover what curriculum said was to be covered."
1018,"Mrs. Burgess has a one-size-fits-all approach to art instruction, rather than letting students discover their creative selves. Students are expected to learn ""techniques"" and replicate them in projec"
1056,"She may be a good teacher, but unfortunately, I wouldn't know. She yelled at the class throughout the entire school year, giving lectures about things that hold zero relevance to the subject matter. She never had control of the classroom."
1093,"Lectures about irrelevant materials, gets into debates with students when supposed to be teaching. His APWH class is very tough because he does not teach the material. Cheating is too easy."
1131,"strays greatly from proper teaching protocol, ineffective lessons. thank goodness that she's polite, though."
1169,"Absolutely awful teacher. Not only does she teach subjects she has no experience with, she hands out extremely difficult assignments that have little to nothing to do with the subject matter. Poor attitude, extremely unhelpful, do NOT recommend."
1206,"im not a fan of her teaching style but if youre a super quick learner youll enjoy her class, not compassionate to those who simply dont get it."
1244,"Mr. Ashley is a very frustrating teacher. He is never clear with his teaching, and mostly just has us do worksheets in class."
1282,"He teaching style consists of 1980's videos, worksheets, and purposly making her Indian accent even more annoying."
1320,i don't think you have an effective style of teaching and i wish you would share quite so much pensonal info with your students!
1357,jones enjoys informing his students of their lack of talent/potential because he played at carnegie hall and it was the pinnacle of his life. FAIL.
1395,"She doesn't seem like she knows what she's doing. Her conducting is very unclear which is a significant problem because a conductor is supposed to lead the orchestra, but none of us can follow her lead."
1433,This teacher has no clue how to teach a foreign language. She expects 1st and 2nd year students to absorb a foreign language with little effort on her part to teach. Shows no compassion for her students that struggle. I feel sorry for the students that end up with her for a teacher. School District should look into her teaching style and lack of skills more closely.
1470,"Feigenbaum- is a nice lady but an awful teacher. Her discussions go virtually nowhere, in fact, their almost completely content-less. Although she attempts at ""social programming"", it's ineffective."
1508,"She is unhelpful, mean, and boring. Her class is dry and useless, and she shows no enthusiasm or charisma whatsoever."
1546,"She is very dis-organized. But she has an interesting way of teaching, that can be effective. However like, I said, she is very dis-organized. She also does not pay attention to students."
1584,"Mr. Poley is an intelligent man, but he is just not equipped to teach high school students. I feel bad that his potential is wasted at Woodward."
1621,AHHHH.....he is soooo off topic. And he doesn't teach what he's supposed to. Instead he teaches life lessons which are a bit uncalled for.
1659,"This guy would teach us incorrect facts of history, and get angry when I corrected him. Considered a video meant he was teaching."
1697,"The worst English teacher I've ever had. Very unorganized so we had to skip the most important book of the year, always picks on certain students, and seems to lack focus on her classroom activities."
1734,He does not deserve to teach at this kind of school. Very biased towards female students and is not very clear when teaching. Expects us to be masters at Ap english with no teaching provided.
1772,"Mr. Butcosfki has the potential to be a good teacher. He has the knowledge and the means by which to spread it.However, he lacks the enthusiasm that can make a class like Chemistry fun, interesting, and a unique life experience. If he were to just focus o"
1810,Mr. Archangel has very little knowledge of the subject matter that he teaches. He has lectured on subjects many times and has to be constantly corrected by the students. Additionally he consistently interjects not fact but rather opinion into world and national events but tries to pass them off as fact. He's typically prepared for class and often seems as if he's trying to figure out what we are supposed to be doing. Grading policies are never objective but very subjective. Bad...just bad.
1848,She's now teaching Chemistry. She has mentioned to us that she's not qualified to teach it. She talks to a Mole on her desk...?
1885,"I agree, about as low on the totem pole of teaching that you can go...what little she did.Her grammar and spelling would make Bush blush."
1923,"essentially, he likes to say essentially alot and essentially doesnt teach very much.. i had him for 3 years"
1961,Doesn't know her own subject matter. Boring lectures and busywork are the entire course matter. However it is an easy A and fufills the tech requirement.
1998,"Discouraging, condescending and not remotely helpful. Her teaching style caters to only a handful of the many types of learners. I had her for AP Statistics and was so disheartened by her poor teaching and consistent berating of any student who did not immediately grasp the material that I dropped the class."
2036,"Her class is very difficult. This would not be so bad if she was good at teaching. She doesn't answer questions clearly, contradicts herself constantly, and is condescending. Nice person though."
