,Text
53,"Too moody, doesn't care about the choir at all. If only she cared more, then we'd be a much better group. Often plays favortites, and doesn't teach much at all."
106,You should really stop playing favorites with the popular preps of BHS. Its not fair to the rest of your students. Your favoritism is so obvious. ZORRO
159,"Let's just say that she wasn't one of my favorites. It was obvious who her favorites were, and she just kind of put everyone else aside. She's very unclear."
212,she was the principal there and when i and a few of my friends were badly bullied we were completely ignored.
266,"She is a fave picker and doesnt let other students be dancers, or have main parts. we only get 2-3 lines."
319,"i think your policies are totally out of line, i dont think your a good teacher, you are unfair you definatly choose favorites and it shows alot in the way you talk to people."
372,"Mr.Thomas, if you would pay attention and not ignor your students when they are tryin to help maybe the band would sound so bad and the choir would sing better."
425,"I didn't have her as a teacher, but from what I've heard is that she favors certain students and let's the popular crowd take over the yearbook. She likes things her way."
478,ms blauvelt made my life a living hell at porter. she definitely chooses favorites and if your not one of her favorites you are going down ?????
532,Mrs. Paris is mean and isn't helpful. all she does is pick a side( part 1 or part 2) then complain about it.
585,she does not talk to students. it is obvious that she likes some more than others and grades according to who she likes
638,"Mean and uncaring. Is only nice to students she plays favorites with (jocks), all others she is unfair and cruel to."
691,Another one of the faculty members that likes to gossip. Has her favorites...play softball and she will love you!
745,She seems very picky and choosy... she doesn't like a lot of people and plays favorites. I don't enjoy her class even though I love playing my instrument...
798,He makes fun of me almost everyday. he definitly pics favorites and basically every high school girl is on his favorites list hmmmm. and he is super lazy
851,"Mr. Rondina is a good man and definitly knows a lot about music theory and piano, but his choral and vocal knowledge is questionable."
904,he def. has his favorites--its hard to predict who he will take a shine to--he is known for riciculing quiet and shy students--you're right--he IS pompous
957,Unless your a favorite you don't do well and she judges speeches professionaly instead of on a high school level
1011,"definently the worst teacher i have ever had, she plays favorites, and if she doesnt like you she will make it a very hard class to get a good grade in. i do not reccoment this teacher."
1064,She totally chose favorites and hated anyone who deny agree with her or who wasn't in cheer
1117,"She plays favorites and can be very demanding, especially of string players. She also has frequent mood swings... She needs to realize music is not taken seriously by many students in her classes."
1170,WORST TEACHER AT LANE. not fair that she favors the kids who ALREADY KNOW spanish. you will study your butt off and it will never show in your grade.
1224,"I quit band, never liked him when I was in band and i don't care for him now. Way too weird, strict, made me hate band and my instrument."
1277,"shes nice, but don't be fooled. she has a sneaky way of playing favorites and loves to get kids in a lot of trouble"
1330,"She is passive aggressive, and a really bad grader. I got good grades in her class, but my friends who did equal quality work did so much worse than me. She made 3 people cry in my class. She clearly picks favorites."
1383,"Blair is the problem with our music program at LC. I had her for orchestra and she is the reason I stopped doing something I loved. Can't even compare her to Bart (sac teacher). I got worse, not better, throughout the year. Good at choir, bad at orchestra."
1436,"He's probably the worst teacher I have ever had, he completely ruined me on music, and my passion for orchestra. He's verbally abusive, and has a cold heart."
1490,She can be moody but overall good. she often shows favoritism towards girls and A students her projects are fun and can go off track
1543,uum...idk wut to say about him...he give the worst singers parts in plays...and the actors absolutely stink
1596,"i dislike her sooo much! she plays favorites and makes the non-favorites cry, and when they're crying, she yells at them more!she does'nt belong in a classroom!"
1649,"loves to kick out like 7 of us and yell, can't play sorts and play bad grades o yeh CLASS AVERAGE A F cause she carsabout us playin even if everyoneparticipate"
1703,"She has favorites, yells at people for no good reason and can't conduct. The songs she picks out for class are terrible, we do the same exact thing every day."
1756,mr sutherland thinks hes the best teacher but all he does is tell stories about himself. he only pretends to take an interest in the kids and leaves out certian students. dont play favorites.
1809,"If you like to sing and perform do not take her class. The performances are lame that Elementary Schools have better performances. She gives you a music history paper to write because she needs to fill up time because there is no performances to work towards. She is confusing and not a very nice person. If you like to sing, then just do it on your own and join a church choir."
1862,"Heath is good only if she likes you and you are one of her top kids. If not you are left alone, and she is mean. plays favorites."
1915,The IB kids seem to like him but he talks down to and degrades the orchestra kids. He is also very unfair and makes bad song choices. He also has little to no respect for his two lower orchestras and
1969,"Ew definitely the worst muscal theatre teacher ever.She didnt care what we wanted to do for Broadway Bound, she just picked the worst show in theatre's history.She taught me nothing.I hate that woman!"
2022,"Didn't try to know the students. Would pick song choices on his own, didn't take input to what we prefer. Fun class, but not necessarily because of him."
2075,"completely unfair and picks favorites. if you are not one of her favorites, she picks on and insults you. very very mean. if you do one thing wrong, she will scream at you and embarass you on purpose."
2128,"depends on what you think is important, technique or musicality. if its musicality, you are out lof luck in this program. he chooses favorites and is hard to get along with."
