,Text
38,"She enjoys making her students feel bad about themselves. By the way, I do my work and have As in her classes."
77,Mr. Barker is very strict and he acts like we're a bunch of college students or something. He's scares a lot of people too.
115,You don't seem to really care about what your teaching and it sometimes seems like all you want to do is get class overwith...how am i supposed to want to be there??
154,ya i didnt like him at all and i would get into fights with him becuase he would bug out about something that didnt matter but the class was fun haha
192,mrs. simanowith can be nice but if she doesnt like you she is never going to be nice to you. she blames EVERYTHING on kids she doesnt like even if it wasnt their fault
231,scariest teacher i ever had- made me scared to raise my hand. He made fun of kids. YAWW DAVIS go to angermanegment
269,"He's an okay teacher, he treats us like trash sometimes and discourages our class. He doesn't even teach us. Its a teaching yourself class."
308,I don't really care for Mrs.Mazza that much!She seems like shes not a very nice teacher and doesn't really care about anyone! and she can be strict at times
346,"He wasn't a very good teacher. He's an okay guy but he's always picking on certain kids and never helps his students. Plus, he's very unorganized."
385,"She makes you like her in the begining, then she gets worse, and never explains things She wants you to figure it out on your own. That never works, and then she gets annoyed when you don't get it"
423,I can't stand him. He has no respect for students and treats you like you're some criminal if you're late for class or something. Worse than the Stephcan.
462,she is mean and tries her hardest to make her students feel bad about themselves. She made me feel so stupid I wanted to cry.
500,"That is right. He doesn't help you. Like the first review, it seems like he doesn't care and if you don't understand, its your fault."
539,"she is honestly so fake. she pretends to be this nice and loving teacher, but she actually is really bad at her job. She makes students feel bad about themselves, and she's always in a ""mood"". Do not recommend for anyone."
577,"didnt like her, moody, makes up things right on the spot, and was late to class every morning... happy she is gone"
616,"i hated this class, hes tries to act tough when hes not and he tries to act all friendly when you really dont want to be bothered. he just tries to hard"
654,ughh he acts like we are the stupidest class he has ever had and when we don't understand something he says he makes it seem like we weren't paying attention and did something wrong don't take tech ed
693,Unfortuntely Mrs.Fesseden does not know how to react with kids.If she did students would like her.Her class wasn't exactly a place I enjoyed learning in.
731,"I was humiliated at how we sounded at our concert. He is so unorganized, and seems to only care aobut his highschool group."
770,she is really condenscending. she treats everybody like they're still in preschool. its really annoying. : (
808,our class is always disorderly with people getting off task...shouldn't have taken this class at all...
847,"She is to strict and stuck in the old days. She is short with people when they try to ask questions. She also acts all high and mighty,like a first class snob!"
885,she takes away points because she doesn't like 'your attitude'. and she yells at you for the most trivial things yet doesn't care when someone is REALLY misbehaving
924,yo shez like mean..be makin fun of kidz and then she be like treating some kids nicely and some kids mean.....thats call racism....like come on......we're all the same.......
962,i've never met anyone who's liked her. treats high schoolers like they're in preschool and is way too strict. i quit taking french because i didn't want to have her as a teacher for another year.
1001,Isla knows that people coming out of her class don't like her because she is tough on the late policy and she always complains about reading our terrrible homework. I dreaded coming to her class.
1039,"Pick favorites, always has an attitude and you are the rudiest teacher ever. So who should put forth more effort?"
1078,"She seems to think of herself as the messiah of the middle school, ""i know this rule seems stupid and i don't like it either"" while obviously liking punsihin u."
1116,Mrs. Kar is the type of teacher that you don't wanna have for an AP class... She makes you feel bad about yourself!
1155,I have a really hard to talk to Mrs.Moody. I just feel like she is judging me when I try to talk to her. I don't feel like I can talk to her... Sorry.
1193,"Take Mr. Lane's class, then you don't go to school too early. He is alway late, ten min. late ls normal. no matter is morning or afternoon class."
1232,I don't feel like he values anybody's opinion. The hallways are crazy. We don't have chorus and it was really good for some kids.
1270,he sound like he teachers kindergarten or somethin...so weird so imature and seems like he has nothing in his brain
1309,Mrs. Rawlston is no help at all. I always forget she's the counselor: She never seems to be doing her job.
1347,i don't really like mrs.bianco because wen she subsatuted for mrs.anotanino...........she changed everything.....she made it like it was her classroom.
1386,"He just wants to be everybody's friend, so kids don't respect him much. I did not learn much."
1424,She gets mad over everything and takes everything to far and doesn't let you be a kid at all
1463,she yelled alot in class and can make you feel bad but overall she is an ok teacher.i did not like her that much.
1501,"She is the worst! She is a control freak in some ways and doesn't take control where she needs to! She is only nice to the students she likes. And hey, how about a smile once in a while?"
1540,"She picks on the athletes all the time, almost like she has a vendetta or something. Bad high school experience so now you're getting even? Get over it and try putting your energy into teaching."
1578,"Mr.Candy always says that he knows everyone, like the world champion...or the best... but you always show off!your jokes r dumb and U never care about anyone hurt. No one likes u!"
1617,"Mrs. Faszewski is a bad teacher. All she did was put me down. I was an athlete and I always tried hard in her class, yet she never respected me. She'll only like you if your are physically challenged."
1655,"She doesn't have control of her class and she is unorganized, the kids do not learn anything from her."
1694,had her for 1.5 years. she is very irritable and i cant stand her. easily gets afraid of her students. homework is always too difficult. makes a lot of dumb packets.
1732,"Mr Dyal enjoys making my child and others feel very unappreciative. These kids need to feel apart of something, not yelled at."
1771,she's unorganized and bearly ever teachesshe just sits there and talks to students about unesesery things like clowns or e.t.
1809,"well, for starters, she accused me and my friends of cheating when it was a GROUP ASSIGNMENT! she freaks out all the time too, like when she gets aboeba on her. and she always eats/does her makeup."
1848,"Worst teacher ever. Hates students. Has ridiculously high expectations of sophomore work, yet treats 15-year-olds like 5 year olds... also flips out if you're wearing scented lotion."
1886,Eccentric (in a bad way). Does not control her class. Seems to be biased against conservative thinkers.
1925,She really doesn't teach well at all and doesn't make the class enjoyable at all. It feels more like torture than a class about the history of our world which should impress all of us and make us all interested to learn more but she ruins it. She makes it feel like pure work and stresses out her students immensely. I have heard nobody who enjoys her class. Not one student likes her.
1963,"She treats the class like 5-year-olds, and is surprised when they act like it. She seems like a nice person, but not an excellent teacher. Unclear explanations--i'm always confused"
2002,What is wrong with this guy. Something is wrong. I can tell and so can most everyone. He is not normal and it is sad.
2040,"She acts like she doesn't want to teach us at all. She is so focused on her ""diploma"" she doesn't even care about her classes. Even if she wanted to teach us it wouldn't make difference."
2079,"If a kid does something ridiculously stupid, like pull out cigarettes on campus, he doesn't come down hard enough, but for things like using phones in the call after ABCD lunch, he gave detentions. ??"
2117,i dont see how any of you would like gozalez! i dont like him atall he tries to be so cool when hes noti hate how he calls people in his class by their nickname
