,Text
49,When i graduated i was so happy!....no not because i was out of school but because i was out of her class.
98,well now that im in high school mrs ericcson messed up my whole year...in algerbra we didnt even get to the 2nd book putting me way behind in geomertry
147,My son came home upset after nearly every class because she would pick on him before anyone else.
196,He was so abnoxious! I got an A in the class but thats only because of Ms. B! She should be conducting NOT him! He never let us out of class on time!
245,Half way through the year she still didnt know my name. my average was a 27 and it was because she put all my grades under someone elses name since she didnt know mine. It was an awful year
294,mrs northrup is very unorganized she messed up my grade and my friends gave me a detention for being tardy when shes tardy in the morning and everyone waits outside her class room for 5-10min
343,i remembered when i was in 6th grade and i got into Arista and she told me that i didnt deserve it just because i didnt understand something in class. ugh i still remember that....
392,she is so negative. Every day we just enter the classroom and she starts yelling st us. I wish we had MRs. Hutteman.
441,"I did all the work and I didn't pass. Did not have grades, she passed only eight out of ten students. Started out with 25 and left with ten. Have to retake 096 but I have a different teacher and I am passing that class."
490,"She was pretty much awful the entire year. as soon as i left her math class i was extatic, and when i walked in her room one day i forgot everything. thanks to ms.emanuel i got a 600 o my math SOL"
539,You gave me my first F even though I worked real hard and it discouraged me the rest of the year. Now I am behind STILL in 9th. -.- I cant get caught up.
588,"SHE'S HARD, SHE'S A BAD TEACHER... AND EVEN THOUGH I WENT TO HER EVERY ADVISORY FOR HELP... I STILL FAILED THE CLASS..."
637,"We are the first class he has taught after 6 years. Let's just say that what he ""teaches"" does not stay in our minds for weeks to come."
686,"WAS GIVING MY GOOD GRADES TO ANOTHER STUDENT THROUGHOUT THE SEMESTER. WHEN I ASKED HER ABOUT IT,SHE GOT MAD AND SAID IT WAS MY FAULT,CUZ OF OUR ALIKE LAST NAME"
735,I had Mr.Piteris a couple years ago and he was one of the worst teachers I ever had he just gave us labs that we had to do in under a week and he was absent 3 out of the 5 days in the week that we had school and when he did show up he just sat at his computer and slept I had a failing average in his class until I got a tutor and he helped me raise my grade from a F to a C+ and when ever you asked him a question he just says to go to extra help and there he even just stares at his computer.THANKS
784,"I am a sophmore at SRHS now and i can finally get away from this guy. He subbed for about a month in 8th grade, and everyone in the class bombed the test. It almost kept me from getting to go on the ECT.PS: He has sweaty armpits"
833,I never even saw her at all until junior year. Completely uninvolved with the school and doesn't even make an effort to help students.
882,I hated her! I had her for homeroom and she wouldn't let us leave during STAR for anything not even the bathroom! She found out who my friends boy friend was and always bugged her about him!
931,"Had her last year (i'm in 6th grade) She never let us do our own work, we always had to do it her way"
980,got my schedule and it said hunter i was so happy until someone told me it was k hunter i wanted not j. argh.
1029,2 me u r sooo boring. but i had da best sleep in ur class. I am soo happy i transferred out of ur class after 3 days.
1078,the worst teacher i've ever had. she didnt even teach and i ended up having trouble in algebra 2 after i took this class
1127,Last year was a good class but coming into this year i expected so much more. You have changed as a teaher and your personality has changed a lot.
1176,"wow mr. Icavano it was so e-z to getout of class and out of school with you, thanks here's a hint i have been in your office every month in 05 to 06 year, yeah its me the _______ I was in Kestlingers"
1225,He got suspended....... and I'm learning more on the 1st day then i did throughout the whole year with him
1274,I missed a test cuzz I was out of town then he had all of these subs so I couldn't make up my test when he came back he said it was 2 late to make up the test!!
1323,"lots of time to do homework, i sure did. but people really fall asleep, and my friend never got a referall...in 6th grade! but this year, she gave my friend bucket duty for 2 weeks"
1372,"september 23rd, 20,000. the year was 20,000 for a whole week. we WATCHED her write it... oh and i skipped her class 19 times freshman year and got caught once. by the sub."
1422,"I have never met someone so unbelievably stupid. had her twice and never learned a thing. My friends and I copied each other's tests identically and we each got different grades. Not even close to similar. The one the slept every class got a 90, the one that actually knew what he was doing got an 80, and the two that worked their butts off but still didnt understand got a 60 and a 65...what?..."
