,Text
13,"In the years since I graduated from SRMS and the years that I attended, SRMS slowly grew more draconian. Overly restrictive policy on dress code, electronics (even outside of classes), and additional"
26,Disappointed with the administration... I have two daughters one that attends WMSS and the other Meadowlane.. Dr. Kise and her staff are much more competent and have to say I prefer Meadowlane atmosph
40,It is sad when a well respected educational institution is forced to continue to employ personnel of such low quality purely in the name of tenure. Hoffman is a shining example of the failures of the tenure system and a true detriment to the excellence
53,"When our older daughter was at Mayfield the Conservatory had much higher standards and more qualified artist educators. Unfortunately, most recently, the program itself has seriously slipped in quality. Mayfield was at one time known for its stellar art program and high standards, the best arts in the area. This is no longer the case and sadly, I don't believe Mrs Darnell is the program's best promoter."
67,"she assgins so much work that it is very stressful and overwhelming, she has no personality and is dusty and irrelevant"
80,"After I was accepted to M.I.T., Mrs. Couthard suggested that I go to New River for a year to ""get some requirements out of the way."" A veritable fountain of worthless advice."
93,Ms. Gibson-Linkh is easily the worst principal working in Orange County. Her disrespect towards her teachers and students is legendary and blatently the by-product of her inability to believe she is capable of making mistakes. She should never have been elevated to a leadership position and it's almost criminal that she remains in one. Her position of power is easily Orange County School's biggest failure. Parents and teachers beware.
107,"With the little experience I've had with Amy Taylor, I can already guarantee that my youngest two children will not be attending Austin High if she is still the principal when they enter high school."
120,"Unsure if she is still teaching. Would be surprised! Hopefully, she is no longer working with children."
134,"A horrible administrator from whom I heard literal threats made to my entire grade. Her favoritism toward her daughters and their friends was stunning. It really made the school a difficult place and many students outside her daughters' circles were treated unfairly. Her lawsuit against the school is laughable, firing her was long overdue."
147,Is there a particular reason so many teachers have left? Is there a deliberate plan to get rid of experience? Or is it that quality teachers won't work with incompetence?
161,"Mrs Keen, I had back in 1995. I have left high school, graduated college and am now currently a sixth grade teacher.I cannot describe how unmotivating and grouc"
174,"She constantly changes her order of operations and organization, and she can never make up her mind. terrible."
187,"If you don't plan on your life revolving around theatre, I don't suggest taking her courses."
201,"As a former student of hers who is now studying at an Ivy League school, I can honestly say that her teaching has made me a successful college writer."
